segundo,angry,disgust,fear,happy,sad,surprise,neutral,emocion_facial,texto,emocion_texto,emocion_facial_raw,congruencia,cambio_emocion
14,0.11074826121330261,3.3278084288212995e-08,0.0032068740110844374,3.7262048721313477,0.15006642043590546,0.011265493929386139,95.99850463867188,neutral,"Earlier, I feel over him by responsibilities and expectations.",sadness,neutral,INCONGRUENCIA,False
15,0.013978785835206509,0.00010394215496489778,0.6128600835800171,2.7494099140167236,0.0022824702318757772,94.7757339477539,1.8456320762634277,neutral,"Earlier, I feel over him by responsibilities and expectations.",sadness,surprise,INCONGRUENCIA,False
16,0.013978785835206509,0.00010394215496489778,0.6128600835800171,2.7494099140167236,0.0022824702318757772,94.7757339477539,1.8456320762634277,neutral,"Earlier, I feel over him by responsibilities and expectations.",sadness,surprise,INCONGRUENCIA,False
17,0.013978785835206509,0.00010394215496489778,0.6128600835800171,2.7494099140167236,0.0022824702318757772,94.7757339477539,1.8456320762634277,neutral,"However, I realized that challenges of the health boost growth and understand ourselves better.",neutral,surprise,Congruente,False
18,0.013978785835206509,0.00010394215496489778,0.6128600835800171,2.7494099140167236,0.0022824702318757772,94.7757339477539,1.8456320762634277,neutral,"However, I realized that challenges of the health boost growth and understand ourselves better.",neutral,surprise,Congruente,False
19,0.013978785835206509,0.00010394215496489778,0.6128600835800171,2.7494099140167236,0.0022824702318757772,94.7757339477539,1.8456320762634277,neutral,"However, I realized that challenges of the health boost growth and understand ourselves better.",neutral,surprise,Congruente,False
20,2.267820358276367,0.0013278352562338114,5.167672634124756,1.9890468120574951,0.45420604944229126,84.55223846435547,5.567688465118408,neutral,"However, I realized that challenges of the health boost growth and understand ourselves better.",neutral,surprise,Congruente,False
21,2.267820358276367,0.0013278352562338114,5.167672634124756,1.9890468120574951,0.45420604944229126,84.55223846435547,5.567688465118408,neutral,"However, I realized that challenges of the health boost growth and understand ourselves better.",neutral,surprise,Congruente,False
22,2.267820358276367,0.0013278352562338114,5.167672634124756,1.9890468120574951,0.45420604944229126,84.55223846435547,5.567688465118408,neutral,"However, I realized that challenges of the health boost growth and understand ourselves better.",neutral,surprise,Congruente,False
23,2.267820358276367,0.0013278352562338114,5.167672634124756,1.9890468120574951,0.45420604944229126,84.55223846435547,5.567688465118408,neutral,"However, I realized that challenges of the health boost growth and understand ourselves better.",neutral,surprise,Congruente,False
24,2.267820358276367,0.0013278352562338114,5.167672634124756,1.9890468120574951,0.45420604944229126,84.55223846435547,5.567688465118408,neutral,"However, I realized that challenges of the health boost growth and understand ourselves better.",neutral,surprise,Congruente,False
25,2.147435426712036,0.04341189190745354,5.656983375549316,1.1009483337402344,0.08382901549339294,90.37432861328125,0.5930660963058472,neutral,"After taking some time to power some breath, I feel more balance and focus.",neutral,surprise,Congruente,False
26,54.319801330566406,2.4708058390388032e-06,0.09228083491325378,45.4165153503418,0.028663787990808487,0.10744191706180573,0.03529642894864082,neutral,"After taking some time to power some breath, I feel more balance and focus.",neutral,angry,Congruente,False
27,54.319801330566406,2.4708058390388032e-06,0.09228083491325378,45.4165153503418,0.028663787990808487,0.10744191706180573,0.03529642894864082,neutral,"After taking some time to power some breath, I feel more balance and focus.",neutral,angry,Congruente,False
28,54.319801330566406,2.4708058390388032e-06,0.09228083491325378,45.4165153503418,0.028663787990808487,0.10744191706180573,0.03529642894864082,neutral,"After taking some time to power some breath, I feel more balance and focus.",neutral,angry,Congruente,False
29,54.319801330566406,2.4708058390388032e-06,0.09228083491325378,45.4165153503418,0.028663787990808487,0.10744191706180573,0.03529642894864082,neutral,"After taking some time to power some breath, I feel more balance and focus.",neutral,angry,Congruente,False
30,1.2130063772201538,0.2114337682723999,2.2504990100860596,2.123297691345215,0.45726266503334045,2.3329946994781494,91.41150665283203,neutral,"Right now, I feel composed, and ready to move forward with clarity.",joy,neutral,INCONGRUENCIA,False
31,0.6424070000648499,0.006215292029082775,6.097930431365967,1.0820419788360596,0.12299850583076477,86.63529968261719,5.413110733032227,neutral,"Right now, I feel composed, and ready to move forward with clarity.",joy,surprise,INCONGRUENCIA,False
32,0.6424070000648499,0.006215292029082775,6.097930431365967,1.0820419788360596,0.12299850583076477,86.63529968261719,5.413110733032227,neutral,"Right now, I feel composed, and ready to move forward with clarity.",joy,surprise,INCONGRUENCIA,False
33,0.6424070000648499,0.006215292029082775,6.097930431365967,1.0820419788360596,0.12299850583076477,86.63529968261719,5.413110733032227,neutral,"Right now, I feel composed, and ready to move forward with clarity.",joy,surprise,INCONGRUENCIA,False
34,0.6424070000648499,0.006215292029082775,6.097930431365967,1.0820419788360596,0.12299850583076477,86.63529968261719,5.413110733032227,neutral,"Right now, I feel composed, and ready to move forward with clarity.",joy,surprise,INCONGRUENCIA,False
35,1.5383199453353882,0.007278816308826208,36.82950973510742,8.730904579162598,3.7954471111297607,6.860550880432129,42.23799514770508,neutral,"Right now, I feel composed, and ready to move forward with clarity.",joy,neutral,INCONGRUENCIA,False
36,13.411004066467285,0.0007687031757086515,2.0698211193084717,0.010500291362404823,0.2700820863246918,83.45050811767578,0.7873201370239258,neutral,"Right now, I feel composed, and ready to move forward with clarity.",joy,surprise,INCONGRUENCIA,False
37,13.411004066467285,0.0007687031757086515,2.0698211193084717,0.010500291362404823,0.2700820863246918,83.45050811767578,0.7873201370239258,neutral,[Silencio],neutral,surprise,No aplicable,False
